movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
2571,The Matrix (1999),Action|Sci-Fi|Thriller
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
109487,Interstellar (2014),Sci-Fi|IMAX
58559,The Dark Knight (2008),Action|Crime|Drama|IMAX
7153,The Lord of the Rings: The Return of the King (2003),Action|Adventure|Drama|Fantasy
4993,The Lord of the Rings: The Fellowship of the Ring (2001),Adventure|Fantasy
5952,The Lord of the Rings: The Two Towers (2002),Adventure|Fantasy
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
